,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
336,Liam Cooper,Leeds ,4,360,0,0,0.09+0.09,0.00,0.02,0.00
337,Konstantinos Tsimikas,Liverpool ,1,25,0,0,0.00,0.00,0.00,0.00
338,Matthew Cash,Aston Villa ,4,352,0,0,0.26+0.26,0.73+0.73,0.07,0.19
339,Trincão,Wolverhampton Wanderers ,1,89,0,0,0.68+0.68,0.00,0.69,0.00
340,Rúben Dias,Manchester City ,4,284,0,0,0.10+0.10,0.00,0.03,0.00
341,Vladimir Coufal,West Ham ,2,91,0,0,0.15+0.15,0.45+0.45,0.15,0.44
342,Hakim Ziyech,Chelsea ,2,86,0,0,0.87+0.87,0.09+0.09,0.91,0.10
343,Robert Sánchez,Brighton ,4,360,0,0,0.00,0.00,0.00,0.00
344,Jakub Moder,Brighton ,4,324,0,0,0.31+0.31,0.17+0.17,0.09,0.05
345,Joe Gelhardt,Leeds ,2,39,0,0,0.43+0.43,0.03+0.03,0.98,0.06
346,Crysencio Summerville,Leeds ,2,44,0,0,0.04+0.04,0.00,0.07,0.00
347,Cody Drameh,Leeds ,1,18,0,0,0.00,0.00,0.00,0.00
348,David Raya,Brentford ,3,270,0,0,0.00,0.00,0.00,0.00
349,Kristoffer Ajer,Brentford ,1,42,0,0,0.07+0.07,0.00,0.14,0.00
350,Ethan Pinnock,Brentford ,4,318,0,0,0.07+0.07,0.83+0.83,0.02,0.24
351,Rico Henry,Brentford ,4,360,0,0,0.03+0.03,0.13+0.13,0.01,0.03
352,Vitaly Janelt,Brentford ,1,20,0,0,0.02+0.02,0.00,0.10,0.00
353,Frank Onyeka,Brentford ,4,295,0,0,0.06+0.06,0.05+0.05,0.02,0.02
354,Mads Bidstrup,Brentford ,1,3,0,0,0.00,0.00,0.00,0.00
355,Marcus Forss,Brentford ,3,141,0,0,0.19+0.19,0.00,0.12,0.00
356,Mads Roerslev,Brentford ,1,11,0,0,0.00,0.00,0.00,0.00
357,Albert Sambi Lokonga,Arsenal ,4,300,0,0,0.16+0.16,0.13+0.13,0.05,0.04
358,Nuno Tavares,Arsenal ,2,180,0,0,0.16+0.16,0.55+0.55,0.08,0.28
359,Nathan Collins,Burnley ,3,270,0,0,0.02+0.02,0.55+0.55,0.01,0.18
360,José Sá,Wolverhampton Wanderers ,3,270,0,0,0.00,0.06+0.06,0.00,0.02
361,Dimitris Giannoulis,Norwich ,3,227,0,0,0.04+0.04,0.19+0.19,0.01,0.07
362,Christos Tzolis,Norwich ,1,20,0,0,0.00,0.00,0.00,0.00
363,Cameron Archer,Aston Villa ,1,1,0,0,0.00,0.00,0.00,0.00
364,Shandon Baptiste,Brentford ,1,28,0,0,0.09+0.09,0.00,0.28,0.00
365,Ozan Tufan,Watford ,2,129,0,0,0.06+0.06,0.00,0.04,0.00
366,Lewis Dobbin,Everton ,1,1,0,0,0.00,0.00,0.00,0.00
367,Przemyslaw Placheta,Norwich ,1,1,0,0,0.00,0.00,0.00,0.00
